Run,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
166374,201,4773815.26215,"[46-64], [66-188]",3703035.44929
166380,1820,36195478.4924,"[1-367], [373-711], [715-1400], [1406-1809]",35285507.369
166408,1250,29341127.3399,"[67-283], [291-947], [953-1236]",27659856.2856
166429,101,1671597.66624,[33-89],1384676.41161
166438,888,19433400.6662,"[32-85], [87-856], [858-866]",18299957.1097
166462,573,10827003.0161,"[78-102], [108-317], [323-526]",9373541.59329
166486,189,2854403.6873,"[54-75], [80-95], [97-174]",2309576.38181
166502,115,1982075.57944,"[43-78], [83-109]",1418875.44372
166512,1906,39806337.1449,"[42-430], [432-487], [491-605], [611-1279], [1281-1818], [1821-1862], [1868-1868], [1870-1871], [1873-1874]",37881928.6552
166514,469,7478831.59355,"[1-455], [460-464]",7344050.04666
166530,104,907215.170005,[43-63],458028.421126
166554,749,17419948.4844,"[46-218], [224-287], [290-317], [320-595], [597-730], [732-734], [736-736]",16048597.2305
166563,767,15439174.1695,"[1-276], [492-748]",10602518.9622
166565,938,15311356.7324,"[1-147], [153-312], [316-467], [469-898]",14947492.1784
166699,918,18858741.2825,"[55-234], [240-415], [421-477], [483-677], [681-912]",17714966.7498
166701,810,13447916.7688,"[1-13], [16-319], [324-506], [513-551], [557-672], [681-705], [712-724], [731-757], [764-777], [783-792]",12494070.256
166763,684,14038656.1887,"[46-168], [174-650]",13382624.1316
166781,392,9182334.11124,"[41-111], [115-115], [117-233], [236-253], [255-382]",7883392.38339
166782,581,12298792.1961,[1-569],11874764.2749
166784,389,7416940.7984,"[1-114], [119-276], [281-365]",6529162.53148
166787,383,6298378.04801,"[1-55], [60-127], [132-364]",6067651.4651
166839,309,7394625.42382,"[43-173], [178-297], [299-302]",5661014.60968
166841,1023,22258235.6607,"[1-845], [851-876], [882-977], [984-984], [988-992], [998-1015]",21326298.0351
166842,187,3105464.09973,[1-170],3050240.7266
166859,442,10181911.9675,"[62-418], [421-421], [423-423]",8592344.53354
166860,36,836026.225779,[1-21],404800.810106
166861,50,1144319.09115,"[1-6], [8-13]",183308.79539
166864,543,11229730.3099,"[1-29], [31-77], [79-99], [102-119], [125-247], [249-307], [311-365], [367-374], [378-454], [478-537]",9656523.5075
166888,484,11572854.9211,"[56-90], [93-154], [156-394], [398-470]",10197877.9395
166889,241,5657210.41872,"[1-73], [79-228]",5033271.34576
166890,548,11686248.4227,[1-441],9352932.45564
166894,219,4235575.43356,[1-190],3567642.91208
166895,622,10583831.2684,"[1-66], [72-597], [599-603]",10324470.1823
166911,112,1753920.64708,"[58-76], [81-104]",985533.830822
166922,789,19323827.1208,"[1-39], [41-105], [110-340], [345-418], [423-747], [752-769], [773-773]",18087372.9961
166923,573,9834537.63758,"[1-382], [389-470]",9574934.68799
166946,211,4922583.54127,"[41-72], [75-201]",4094190.37932
166950,1450,31152027.7464,"[1-1], [8-31], [36-210], [216-877], [883-950], [956-1012], [1018-1321], [1327-1345], [1347-1438]",29471678.2293
166960,199,3581057.01068,"[1-137], [143-166]",2848308.38991
166966,254,4369662.00153,[1-238],3982274.53867
166967,248,3523537.41869,[1-220],3470552.49649
167039,247,6035546.23422,"[20-92], [98-228]",4966266.48301
167041,676,14236404.4617,"[1-336], [339-391], [396-462], [467-663]",13557524.5216
167043,239,4190348.15069,"[1-125], [130-235]",4047396.54368
167078,248,3769248.74583,[40-174],3199550.88808
167098,473,9450269.75565,"[62-90], [92-162], [167-406], [448-461]",8268219.81867
167102,440,8696024.53956,"[1-42], [48-233], [235-317], [323-430]",7994765.7512
167103,141,1672790.55089,[1-94],1620367.7347
167151,119,1609365.35366,[1-42],986514.520111
167281,600,15248683.4351,"[18-140], [146-315], [317-593]",14228353.6823
167282,457,9430205.46987,[1-441],8978024.9576
167284,1718,27121997.5517,"[1-315], [320-346], [356-395], [399-474], [476-1157], [1160-1628], [1633-1644]",25661201.6712
167551,485,11918366.4732,"[56-190], [196-471]",10901788.5107
167673,506,8381097.81521,"[210-236], [239-305], [309-418], [423-447]",5835658.36445
167674,355,8581257.29186,[1-345],8154943.75729
167675,1069,22077738.8337,"[1-129], [133-299], [301-617], [690-707], [710-712], [715-716], [719-719], [721-725], [740-741], [748-758], [762-770], [774-787], [793-797], [811-1062]",19135324.1219
167676,477,7852382.43856,"[1-278], [289-450]",7573033.78584
167740,178,3337869.21401,"[79-126], [132-168], [170-173]",2182348.10028
167746,401,9282906.45782,[56-384],8356871.77556
167754,108,1749158.69439,[62-103],994275.70673
167784,144,3096005.62588,[51-67],428485.824255
167786,184,4437277.5523,"[1-1], [11-75], [81-176]",3976056.0921
167807,1879,43426795.3025,"[60-159], [178-204], [210-482], [484-558], [560-872], [878-1441], [1444-1842]",40518266.8011
167830,1255,20891346.9393,"[1-437], [442-587], [590-828], [834-1242]",20338891.2263
167898,1768,39946611.7815,"[108-619], [621-995], [1001-1010], [1013-1053], [1057-1295], [1298-1762]",37970327.1026
167913,455,7884623.15203,"[1-126], [128-432]",7609374.18581
170722,294,5898419.24927,[110-287],5284412.39588
